"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"104","Cucurbita_pepo_subsp._ovifera_var._ovifera",32.85,-87.98,"GBIF","H","UA","122228903","122228903","PRESERVED_SPECIMEN","Cucurbita","US","near Zion Creek (Culpepper Creek on some maps)  ca 3 mi S of Eutaw on US 43 T21N R2E S29","cultivated"
"105","Cucurbita_pepo_subsp._ovifera_var._ovifera",33.95,-89.35,"GBIF","H","UA","122228904","122228904","PRESERVED_SPECIMEN","Cucurbita","US","3 mi NE of Derma.  T14S R1W S1 NE1/4 of NW1/4","cultivated"
"106","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.2997,-93.6456,"GBIF","H","KU","1234285150","1234285150","PRESERVED_SPECIMEN","Cucurbita","US","Kings River Preserve  in flood-scoured chert gravel expanse along Kings River  at tip of peninsula ca 1 mi S of Mason Bend","cultivated"
"107","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.2997,-93.6456,"GBIF","H","MO","1258179687","1258179687","PRESERVED_SPECIMEN","Cucurbita","US","Kings River Preserve at tip or peninsula ca. 1 mi S of Mason Bend.","cultivated"
"108","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.6,-5.3075,"GBIF","H","ESP027","210242668","210242668","PRESERVED_SPECIMEN","Cucurbita","ES","Siete Pilas  Benalauria  province of Malaga","cultivated"
"109","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.6131,-5.31833,"GBIF","H","ESP027","210242669","210242669","PRESERVED_SPECIMEN","Cucurbita","ES","El Chopo  Cortes de la Frontera  province of Malaga","cultivated"
"110","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.6214,-6.36167,"GBIF","H","ESP026","210242700","210242700","PRESERVED_SPECIMEN","Cucurbita","ES","Rota  province of Cadiz","cultivated"
"111","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.6214,-6.36167,"GBIF","H","ESP026","210242672","210242672","PRESERVED_SPECIMEN","Cucurbita","ES","Rota  province of Cadiz","cultivated"
"112","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.6214,-6.36167,"GBIF","H","ESP026","210242671","210242671","PRESERVED_SPECIMEN","Cucurbita","ES","Rota  province of Cadiz","cultivated"
"113","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.6214,-6.36167,"GBIF","H","ESP026","210242652","210242652","PRESERVED_SPECIMEN","Cucurbita","ES","Rota  province of Cadiz","cultivated"
"114","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.7014,-5.42,"GBIF","H","ESP026","210242655","210242655","PRESERVED_SPECIMEN","Cucurbita","ES","Benaocaz  province of Cadiz","cultivated"
"115","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.7014,-5.42,"GBIF","H","ESP026","210242654","210242654","PRESERVED_SPECIMEN","Cucurbita","ES","Benaocaz  province of Cadiz","cultivated"
"116","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.73024,-4.4583,"GBIF","H","MGC","415617221","415617221","PRESERVED_SPECIMEN","Cucurbita","ES","MÃ¡laga; Residencia Militar CastaÃ±Ã³n de Mena","cultivated"
"117","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.7386,-5.16417,"GBIF","H","ESP026","210242656","210242656","PRESERVED_SPECIMEN","Cucurbita","ES","Ronda  province of Malaga","cultivated"
"118","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.7692,-5.36444,"GBIF","H","ESP026","210242653","210242653","PRESERVED_SPECIMEN","Cucurbita","ES","Grazalema  province of Cadiz","cultivated"
"119","Cucurbita_pepo_subsp._ovifera_var._ovifera",36.9681,-3.18889,"GBIF","H","ESP027","210242660","210242660","PRESERVED_SPECIMEN","Cucurbita","ES","Alcutar  Berchules  province of Granada","cultivated"
